period,value,hour,day,weekday
2024-12-25 08:00:00,1668,8,25,2
2024-12-25 08:00:00,23805,8,25,2
2024-12-25 08:00:00,22137,8,25,2
2024-12-25 08:00:00,271,8,25,2
2024-12-25 08:00:00,685,8,25,2
2024-12-25 08:00:00,1772,8,25,2
2024-12-25 08:00:00,3247,8,25,2
2024-12-25 08:00:00,519,8,25,2
2024-12-25 08:00:00,27052,8,25,2
2024-12-25 07:00:00,1759,7,25,2
2024-12-25 07:00:00,25055,7,25,2
2024-12-25 07:00:00,23296,7,25,2
2024-12-25 07:00:00,280,7,25,2
2024-12-25 07:00:00,844,7,25,2
2024-12-25 07:00:00,693,7,25,2
2024-12-25 07:00:00,1784,7,25,2
2024-12-25 07:00:00,3302,7,25,2
2024-12-25 07:00:00,2160,7,25,2
2024-12-25 07:00:00,1316,7,25,2
2024-12-25 07:00:00,545,7,25,2
2024-12-25 07:00:00,30517,7,25,2
2024-12-25 06:00:00,2539,6,25,2
2024-12-25 06:00:00,1831,6,25,2
2024-12-25 06:00:00,25964,6,25,2
2024-12-25 06:00:00,30510,6,25,2
2024-12-25 06:00:00,24133,6,25,2
2024-12-25 06:00:00,288,6,25,2
2024-12-25 06:00:00,886,6,25,2
2024-12-25 06:00:00,697,6,25,2
2024-12-25 06:00:00,1842,6,25,2
2024-12-25 06:00:00,2539,6,25,2
2024-12-25 06:00:00,3404,6,25,2
2024-12-25 06:00:00,2250,6,25,2
2024-12-25 06:00:00,30510,6,25,2
2024-12-25 06:00:00,16602,6,25,2
2024-12-25 06:00:00,1364,6,25,2
2024-12-25 06:00:00,577,6,25,2
2024-12-25 06:00:00,16602,6,25,2
2024-12-25 06:00:00,81269,6,25,2
2024-12-25 05:00:00,2639,5,25,2
2024-12-25 05:00:00,1885,5,25,2
2024-12-25 05:00:00,26395,5,25,2
2024-12-25 05:00:00,31481,5,25,2
2024-12-25 05:00:00,24510,5,25,2
2024-12-25 05:00:00,294,5,25,2
2024-12-25 05:00:00,930,5,25,2
2024-12-25 05:00:00,1855,5,25,2
2024-12-25 05:00:00,1495,5,25,2
2024-12-25 05:00:00,698,5,25,2
2024-12-25 05:00:00,174,5,25,2
2024-12-25 05:00:00,1945,5,25,2
2024-12-25 05:00:00,3612,5,25,2
2024-12-25 05:00:00,6251,5,25,2
2024-12-25 05:00:00,3541,5,25,2
2024-12-25 05:00:00,186,5,25,2
2024-12-25 05:00:00,2328,5,25,2
2024-12-25 05:00:00,31481,5,25,2
2024-12-25 05:00:00,16951,5,25,2
2024-12-25 05:00:00,1398,5,25,2
2024-12-25 05:00:00,604,5,25,2
2024-12-25 05:00:00,16951,5,25,2
2024-12-25 05:00:00,88802,5,25,2
2024-12-25 04:00:00,2744,4,25,2
2024-12-25 04:00:00,1922,4,25,2
2024-12-25 04:00:00,26995,4,25,2
2024-12-25 04:00:00,32399,4,25,2
2024-12-25 04:00:00,25073,4,25,2
2024-12-25 04:00:00,298,4,25,2
2024-12-25 04:00:00,957,4,25,2
2024-12-25 04:00:00,1998,4,25,2
2024-12-25 04:00:00,1615,4,25,2
2024-12-25 04:00:00,703,4,25,2
2024-12-25 04:00:00,187,4,25,2
2024-12-25 04:00:00,2041,4,25,2
2024-12-25 04:00:00,3727,4,25,2
2024-12-25 04:00:00,6471,4,25,2
2024-12-25 04:00:00,3657,4,25,2
2024-12-25 04:00:00,196,4,25,2
2024-12-25 04:00:00,2382,4,25,2
2024-12-25 04:00:00,32399,4,25,2
2024-12-25 04:00:00,17512,4,25,2
2024-12-25 04:00:00,1425,4,25,2
2024-12-25 04:00:00,615,4,25,2
2024-12-25 04:00:00,17512,4,25,2
2024-12-25 04:00:00,91414,4,25,2
2024-12-25 03:00:00,2857,3,25,2
2024-12-25 03:00:00,1970,3,25,2
2024-12-25 03:00:00,27768,3,25,2
2024-12-25 03:00:00,33140,3,25,2
2024-12-25 03:00:00,25798,3,25,2
2024-12-25 03:00:00,300,3,25,2
2024-12-25 03:00:00,972,3,25,2
2024-12-25 03:00:00,2122,3,25,2
2024-12-25 03:00:00,1715,3,25,2
2024-12-25 03:00:00,703,3,25,2
2024-12-25 03:00:00,201,3,25,2
2024-12-25 03:00:00,2101,3,25,2
2024-12-25 03:00:00,3838,3,25,2
2024-12-25 03:00:00,6695,3,25,2
2024-12-25 03:00:00,3730,3,25,2
2024-12-25 03:00:00,206,3,25,2
2024-12-25 03:00:00,2408,3,25,2
2024-12-25 03:00:00,33140,3,25,2
2024-12-25 03:00:00,17538,3,25,2
2024-12-25 03:00:00,1436,3,25,2
2024-12-25 03:00:00,626,3,25,2
2024-12-25 03:00:00,17538,3,25,2
2024-12-25 03:00:00,93401,3,25,2
2024-12-25 02:00:00,2870,2,25,2
2024-12-25 02:00:00,2015,2,25,2
2024-12-25 02:00:00,28188,2,25,2
2024-12-25 02:00:00,33388,2,25,2
2024-12-25 02:00:00,26173,2,25,2
2024-12-25 02:00:00,297,2,25,2
2024-12-25 02:00:00,990,2,25,2
2024-12-25 02:00:00,2253,2,25,2
2024-12-25 02:00:00,1825,2,25,2
2024-12-25 02:00:00,706,2,25,2
2024-12-25 02:00:00,211,2,25,2
2024-12-25 02:00:00,2113,2,25,2
2024-12-25 02:00:00,3920,2,25,2
2024-12-25 02:00:00,6790,2,25,2
2024-12-25 02:00:00,3752,2,25,2
2024-12-25 02:00:00,217,2,25,2
2024-12-25 02:00:00,2465,2,25,2
2024-12-25 02:00:00,33388,2,25,2
2024-12-25 02:00:00,17683,2,25,2
2024-12-25 02:00:00,1475,2,25,2
2024-12-25 02:00:00,636,2,25,2
2024-12-25 02:00:00,17683,2,25,2
2024-12-25 02:00:00,94519,2,25,2
2024-12-25 01:00:00,2871,1,25,2
2024-12-25 01:00:00,1930,1,25,2
2024-12-25 01:00:00,26295,1,25,2
2024-12-25 01:00:00,33564,1,25,2
2024-12-25 01:00:00,24365,1,25,2
2024-12-25 01:00:00,292,1,25,2
2024-12-25 01:00:00,981,1,25,2
2024-12-25 01:00:00,2385,1,25,2
2024-12-25 01:00:00,1950,1,25,2
2024-12-25 01:00:00,701,1,25,2
2024-12-25 01:00:00,217,1,25,2
2024-12-25 01:00:00,2133,1,25,2
2024-12-25 01:00:00,3943,1,25,2
2024-12-25 01:00:00,6814,1,25,2
2024-12-25 01:00:00,3737,1,25,2
2024-12-25 01:00:00,218,1,25,2
2024-12-25 01:00:00,2471,1,25,2
2024-12-25 01:00:00,33564,1,25,2
2024-12-25 01:00:00,17672,1,25,2
2024-12-25 01:00:00,1490,1,25,2
2024-12-25 01:00:00,611,1,25,2
2024-12-25 01:00:00,17672,1,25,2
2024-12-25 01:00:00,92938,1,25,2
2024-12-25 00:00:00,2831,0,25,2
2024-12-25 00:00:00,1854,0,25,2
2024-12-25 00:00:00,24938,0,25,2
2024-12-25 00:00:00,33175,0,25,2
2024-12-25 00:00:00,23084,0,25,2
2024-12-25 00:00:00,287,0,25,2
2024-12-25 00:00:00,902,0,25,2
2024-12-25 00:00:00,2481,0,25,2
2024-12-25 00:00:00,2050,0,25,2
2024-12-25 00:00:00,694,0,25,2
2024-12-25 00:00:00,216,0,25,2
2024-12-25 00:00:00,2118,0,25,2
2024-12-25 00:00:00,3935,0,25,2
2024-12-25 00:00:00,6766,0,25,2
2024-12-25 00:00:00,3691,0,25,2
2024-12-25 00:00:00,215,0,25,2
2024-12-25 00:00:00,2312,0,25,2
2024-12-25 00:00:00,33175,0,25,2
2024-12-25 00:00:00,17568,0,25,2
2024-12-25 00:00:00,1410,0,25,2
2024-12-25 00:00:00,592,0,25,2
2024-12-25 00:00:00,17568,0,25,2
2024-12-25 00:00:00,90931,0,25,2
2024-12-24 23:00:00,2622,23,24,1
2024-12-24 23:00:00,1848,23,24,1
2024-12-24 23:00:00,24304,23,24,1
2024-12-24 23:00:00,32073,23,24,1
2024-12-24 23:00:00,22456,23,24,1
2024-12-24 23:00:00,283,23,24,1
2024-12-24 23:00:00,856,23,24,1
2024-12-24 23:00:00,2478,23,24,1
2024-12-24 23:00:00,2080,23,24,1
2024-12-24 23:00:00,689,23,24,1
2024-12-24 23:00:00,202,23,24,1
2024-12-24 23:00:00,2048,23,24,1
2024-12-24 23:00:00,3804,23,24,1
2024-12-24 23:00:00,6426,23,24,1
