period,respondent,respondent-name,type,type-name,value,value-units
2024-12-25T08,BANC,Balancing Authority of Northern California,DF,Day-ahead demand forecast,1668,megawatthours
2024-12-25T08,CAL,California,DF,Day-ahead demand forecast,23805,megawatthours
2024-12-25T08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22137,megawatthours
2024-12-25T08,DOPD,PUD No. 1 of Douglas County,DF,Day-ahead demand forecast,271,megawatthours
2024-12-25T08,GCPD,"Public Utility District No. 2 of Grant County, Washington",DF,Day-ahead demand forecast,685,megawatthours
2024-12-25T08,IPCO,Idaho Power Company,DF,Day-ahead demand forecast,1772,megawatthours
2024-12-25T08,NW,Northwest,DF,Day-ahead demand forecast,3247,megawatthours
2024-12-25T08,TPWR,"City of Tacoma, Department of Public Utilities, Light Division",DF,Day-ahead demand forecast,519,megawatthours
2024-12-25T08,US48,United States Lower 48,DF,Day-ahead demand forecast,27052,megawatthours
2024-12-25T07,BANC,Balancing Authority of Northern California,DF,Day-ahead demand forecast,1759,megawatthours
2024-12-25T07,CAL,California,DF,Day-ahead demand forecast,25055,megawatthours
2024-12-25T07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23296,megawatthours
2024-12-25T07,DOPD,PUD No. 1 of Douglas County,DF,Day-ahead demand forecast,280,megawatthours
2024-12-25T07,EPE,El Paso Electric Company,DF,Day-ahead demand forecast,844,megawatthours
2024-12-25T07,GCPD,"Public Utility District No. 2 of Grant County, Washington",DF,Day-ahead demand forecast,693,megawatthours
2024-12-25T07,IPCO,Idaho Power Company,DF,Day-ahead demand forecast,1784,megawatthours
2024-12-25T07,NW,Northwest,DF,Day-ahead demand forecast,3302,megawatthours
2024-12-25T07,SW,Southwest,DF,Day-ahead demand forecast,2160,megawatthours
2024-12-25T07,TEPC,Tucson Electric Power,DF,Day-ahead demand forecast,1316,megawatthours
2024-12-25T07,TPWR,"City of Tacoma, Department of Public Utilities, Light Division",DF,Day-ahead demand forecast,545,megawatthours
2024-12-25T07,US48,United States Lower 48,DF,Day-ahead demand forecast,30517,megawatthours
2024-12-25T06,AECI,"Associated Electric Cooperative, Inc.",DF,Day-ahead demand forecast,2539,megawatthours
2024-12-25T06,BANC,Balancing Authority of Northern California,DF,Day-ahead demand forecast,1831,megawatthours
2024-12-25T06,CAL,California,DF,Day-ahead demand forecast,25964,megawatthours
2024-12-25T06,CENT,Central,DF,Day-ahead demand forecast,30510,megawatthours
2024-12-25T06,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24133,megawatthours
2024-12-25T06,DOPD,PUD No. 1 of Douglas County,DF,Day-ahead demand forecast,288,megawatthours
2024-12-25T06,EPE,El Paso Electric Company,DF,Day-ahead demand forecast,886,megawatthours
2024-12-25T06,GCPD,"Public Utility District No. 2 of Grant County, Washington",DF,Day-ahead demand forecast,697,megawatthours
2024-12-25T06,IPCO,Idaho Power Company,DF,Day-ahead demand forecast,1842,megawatthours
2024-12-25T06,MIDW,Midwest,DF,Day-ahead demand forecast,2539,megawatthours
2024-12-25T06,NW,Northwest,DF,Day-ahead demand forecast,3404,megawatthours
2024-12-25T06,SW,Southwest,DF,Day-ahead demand forecast,2250,megawatthours
2024-12-25T06,SWPP,Southwest Power Pool,DF,Day-ahead demand forecast,30510,megawatthours
2024-12-25T06,TEN,Tennessee,DF,Day-ahead demand forecast,16602,megawatthours
2024-12-25T06,TEPC,Tucson Electric Power,DF,Day-ahead demand forecast,1364,megawatthours
2024-12-25T06,TPWR,"City of Tacoma, Department of Public Utilities, Light Division",DF,Day-ahead demand forecast,577,megawatthours
2024-12-25T06,TVA,Tennessee Valley Authority,DF,Day-ahead demand forecast,16602,megawatthours
2024-12-25T06,US48,United States Lower 48,DF,Day-ahead demand forecast,81269,megawatthours
2024-12-25T05,AECI,"Associated Electric Cooperative, Inc.",DF,Day-ahead demand forecast,2639,megawatthours
2024-12-25T05,BANC,Balancing Authority of Northern California,DF,Day-ahead demand forecast,1885,megawatthours
2024-12-25T05,CAL,California,DF,Day-ahead demand forecast,26395,megawatthours
2024-12-25T05,CENT,Central,DF,Day-ahead demand forecast,31481,megawatthours
2024-12-25T05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24510,megawatthours
2024-12-25T05,DOPD,PUD No. 1 of Douglas County,DF,Day-ahead demand forecast,294,megawatthours
2024-12-25T05,EPE,El Paso Electric Company,DF,Day-ahead demand forecast,930,megawatthours
2024-12-25T05,FLA,Florida,DF,Day-ahead demand forecast,1855,megawatthours
2024-12-25T05,FMPP,Florida Municipal Power Pool,DF,Day-ahead demand forecast,1495,megawatthours
